Titulo_libro	Autor	Subtitulo_libro	Cantidad ejemplares	Edicion	Año_publicacion	biblioitemnumber
Titulo_libro: Intifada en Palestina : 	Autor: Ayape Amigot, Fernando	Subtitulo_libro: despertar de un sueño.	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: [s.f.].	biblioitemnumber: 51
Titulo_libro: La Liga de los Estados Arabes.	Autor: Ayape Amigot, Fernando	Subtitulo_libro: sin datos	Cantidad ejemplares: 2	Edicion: 1ra.ed.	Año_publicacion: [s.f.].	biblioitemnumber: 52
Titulo_libro: Derecho financiero.	Autor: Giuliani Fonrouge, Carlos M	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1970.	biblioitemnumber: 53
Titulo_libro: El presupuesto en la empresa : 	Autor: Bidart, Jorge Adolfo	Subtitulo_libro: metodología de un caso práctico.	Cantidad ejemplares: 16	Edicion: 1ra.ed.	Año_publicacion: 1981.	biblioitemnumber: 54
Titulo_libro: Fundamentos de contabilidad.	Autor: Biondi, Mario	Subtitulo_libro: sin datos	Cantidad ejemplares: 14	Edicion: 1ra.ed.	Año_publicacion: 1975.	biblioitemnumber: 55
Titulo_libro: Manual de contabilidad : 	Autor: Biondi, Mario	Subtitulo_libro: técnicas de valuación.	Cantidad ejemplares: 5	Edicion: 2da. ed.	Año_publicacion: 1976.	biblioitemnumber: 56
Titulo_libro: Direcciones contemporáneas del pensamiento económico.	Autor: Borga, Ernesto E.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1961.	biblioitemnumber: 57
Titulo_libro: Direcciones contemporáneas del pensamiento económico.	Autor: Borga, Ernesto E.	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1961.	biblioitemnumber: 58
Titulo_libro: Plantas de interés ganadero de Jujuy y Salta.	Autor: Braun Wilke, Rolando	Subtitulo_libro: sin datos	Cantidad ejemplares: 1	Edicion: 1ra.ed.	Año_publicacion: 1991.	biblioitemnumber: 59
Titulo_libro: Contabilidad práctica : 	Autor: Cabrera, Emanuel S.	Subtitulo_libro: nuevo plan de estudio año 1953 para primer año.	Cantidad ejemplares: 1	Edicion: 2da.ed.	Año_publicacion: 1954.	biblioitemnumber: 60
