autor;titulo_libro;subtitulo_libro;cantidad_ejemplar;libro_edicion;año_publicacion;biblioitemnumber
"Vedoya, Juan Carlos";"La magra cosecha : ";1868-1874.;1;1ra.ed.;1979.;185
"Wall, Alexander";"Interpretación de balances.";;3;1ra.ed.;1952.;186
"Rojo, Armando O";Algebra.;;1;1ra.ed.;1972.;187
;"Anales de la X Convención Nacional de Consejos Profesionales de Ciencias Económicas.";;3;1ra.ed.;1978.;188
"Cuccorese, Horacio Juan";"Argentina : ";"manual de historia económica y social.";12;1ra.ed.;1983.;189
;"Memoria anual.";;1;1ra.ed.;1984.;190
;"Energy form.";;1;1ra.ed.;1983.;191
;"Las Naciones Unidas al alcance de todos.";;1;2da.ed.;1960.;192
;"El mercado del tabaco y la evolución de la economía tabacalera en la última década.";;1;1ra.ed.;1978.;193
;"Novenas Jornadas Nacionales de Docentes en Administración Financiera : ";disertaciones.;1;1ra.ed.;1989.;194
;"Novenas Jornadas Nacionales de Docentes en Administración Financiera : ";disertaciones.;1;1ra.ed.;1989.;195
;"Séptimas Jornadas Nacionales de Sistemas de Información.";;1;1ra.ed.;1985.;196
;"Primeras Jornadas Nacionales de la Pequeña y Mediana Empresa : ";"desarrollar la realidad para consolidar el crecimiento.";1;1ra.ed.;1988.;197
;"Jornadas Universitarias de Contabilidad";;1;1ra.ed.;1991.;198
;"Caracterización y desarrollo regional bonaerense.";;1;1ra.ed.;1979.;199
;"Decimoterceras Jornadas Universitarias de Contabilidad.";;5;1ra.ed.;1992.;200
;"Código Civil de la República Argentina : ";"leyes complementarias y modificatorias.";1;1ra.ed.;1943.;201
;"Código de Comercio.";;1;1ra.ed.;1991.;202
"Michelson, Guillermo";"Ley de fideicomisos.";;2;1ra.ed.;1970.;203
"Fortini, Hernando Luis";"Replanteo de la técnica contable : ";"su estructura básica, su acercamiento a la economía.";2;1ra.ed.;1980.;204
;"Dictionnaire des mathématiques appliquées.";;1;1ra.ed.;[199-].;205
;"Cuba 1959-1991 : ";"evaluando el castrato.";1;1ra.ed.;1991.;206
;"Municipalismo y democracia : ";"encuentros municipales bonaerenses.";2;1ra.ed.;1988.;207
;"Municipalismo y democracia : ";"encuentros municipales bonaerenses.";2;1ra.ed.;1988.;208
;"La integración económica regional y los convenios binacionales.";;1;1ra.ed.;1989.;209
"Rosiello, Juan Carlos";"Bonos : ";"al alcance de todos.";6;1ra.ed.;2002.;210
;"Medio siglo al servicio del país y de la profesión.";;2;1ra.ed.;1976.;211
;"La profesión y los graduados en Ciencias Económicas en la República Argentina.";;2;1ra.ed.;1972.;212
;"Dictámenes, recomendaciones e informes.";;1;2da.ed.;1978.;213
;"Cultura y democracia.";;3;1ra.ed.;1987.;214
;"Educación y democracia.";;4;1ra.ed.;1986.;215
;"Aportes para la transformación del nivel medio.";;3;1ra.ed.;1987.;216
;"Gastos e ingresos públicos provinciales 1970-1985.";;2;1ra.ed.;1991.;217
;"Gastos e ingresos públicos provinciales 1970-1985.";;2;1ra.ed.;1991.;218
;"Encuentro regional del noroeste argentino sobre integración latinoamericana.";;1;1ra.ed.;1992.;219
;"Integración latinoamericana : ";"informe base II.";2;1ra.ed.;1992.;220
